ASVID	inhibitory_probability_alex	inhibitory_probability_woodhams	inhibitory_probability_tree	tree_cophen_dist	avePercIdent_blast_woodhams	avePercIdent_blast_alex	Matched_AlexID	knownInhibitory	Inhibitory01	dataset	IsolateID	Isolate	tipColInhib	tipColDataset
3bb0bf5132b0f988573de9bd6059b22c	NA	0.666666666666667	0.269948552950118	0.00496217704	99.605	98.828	BTB_28-27F_B09.ab1	NA	NA	mine	NA	NA	grey	red
caf453a6dba2f9faede076262ebabcec	NA	1	0.498041344866782	0.13677424704	98.419	NA	NA	NA	NA	mine	NA	NA	grey	red
7f929e90cf65ddeda1f9c76295c8152b	NA	0.4	0.509100118213674	0.17318390352	97.628	NA	NA	NA	NA	mine	NA	NA	grey	red
9ad12b526212b095292ecfdd7b46fac9	NA	0.5	0.500259746119601	0.24763370051	97.233	NA	NA	NA	NA	mine	NA	NA	grey	red
7acb2f81fcf9ef00681817804bb52ee6	NA	0.5	0.506302018625448	0.24596098051	97.233	NA	NA	NA	NA	mine	NA	NA	grey	red
689f1824bb6bdee2c08f619da1b57eb4	NA	0.5	0.506970936934393	0.22137268051	97.628	NA	NA	NA	NA	mine	NA	NA	grey	red
9c7422a3a4ea092153a2fbc0fe158fa7	NA	NA	0.510583867480157	0.15963080704	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
5d5db5a4b1cb701462bfd0989f5a3495	NA	NA	0.481480999915914	0.26813922352	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
c2ed4cd9dbbd5fe55220db4b82448540	NA	1	0.493453608316393	0.1687488345	98.814	97.656	BTB_28-27F_B09.ab1	NA	NA	mine	NA	NA	grey	red
0920dcf0f62fb2b3ab9e32f1c4edec37	NA	1	0.492907382842263	0.1558985345	99.209	98.047	BTB_28-27F_B09.ab1	NA	NA	mine	NA	NA	grey	red
11a3aae2cf591c48a4d37d1fc13b082d	NA	0	0.378216980555849	0.01188361352	99.605	NA	NA	NA	NA	mine	NA	NA	grey	red
868e0165fe32a8925b7f20afa5e1dbfc	NA	1	1	0	100	NA	NA	NA	NA	mine	NA	NA	grey	red
577f1fb43ee52b079d4925895e1b5e18	NA	1	0.571045612781069	0.01844934352	99.605	NA	NA	NA	NA	mine	NA	NA	grey	red
d3530350480a2196e24a004fa0027558	NA	1	1	0	100	98.425	BTB_47-27F_D04.ab1	NA	NA	mine	NA	NA	grey	red
d6547ae2b7dfad591762cbbf61b40bbd	NA	1	0.816231893655162	0.01156621352	99.605	98.819	BTB_47-27F_D04.ab1	NA	NA	mine	NA	NA	grey	red
5244e0099490f11613bd99f0518af5d7	NA	1	0.816337974149106	0.01155361352	99.605	98.819	BTB_47-27F_D04.ab1	NA	NA	mine	NA	NA	grey	red
d32e579b3ae7b2aae8d5bf9f027c29af	NA	1	1	0	100	99.213	BTB_47-27F_D04.ab1	NA	NA	mine	NA	NA	grey	red
d5a1c561df6cd0e8ac159e2b5b53e973	NA	1	0.673276420861914	0.04153499922	99.209	98.425	BTB_47-27F_D04.ab1	NA	NA	mine	NA	NA	grey	red
8735f92a7f18db944bc862777fbd3222	NA	1	0.00221040575977432	1.222704e-05	99.209	97.638	BTB_47-27F_D04.ab1	NA	NA	mine	NA	NA	grey	red
e723253e1f679a2f7a18e1ca98c05214	NA	0	0.447201899933671	0.03813342452	99.597	NA	NA	NA	NA	mine	NA	NA	grey	red
032b7df1b63c13c81555718bafda9aec	NA	0	0.37195908285428	0.01191061352	99.605	NA	NA	NA	NA	mine	NA	NA	grey	red
20d8337d5c3e21238ecbf429ed4cb8d7	NA	NA	0.504767413758279	0.13487063	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
b101db7ea7520261274bbbab90cedb38	NA	1	0.503157734562432	0.18204063	98.406	NA	NA	NA	NA	mine	NA	NA	grey	red
f34cdcd73e535507d29c29b19d01f658	NA	1	0.499203659337287	0.15426243352	98.419	97.638	BTB_47-27F_D04.ab1	NA	NA	mine	NA	NA	grey	red
56bab93ff70da7e35b8949810a58b071	NA	1	0.503249113774706	0.20561078	98.024	NA	NA	NA	NA	mine	NA	NA	grey	red
63a108de088348fa151597ccb3ccc27d	NA	1	0.488518505802152	0.2654893	98.814	97.244	BTB_47-27F_D04.ab1	NA	NA	mine	NA	NA	grey	red
e8724520788bb38a7f9d22c91318f016	NA	1	0.496433017600844	0.23224731722	99.209	97.638	BTB_47-27F_D04.ab1	NA	NA	mine	NA	NA	grey	red
6f55d23d346149370d1c7682bd1be8ff	NA	1	0.504062656853664	0.17790588352	97.628	NA	NA	NA	NA	mine	NA	NA	grey	red
7d217addfd80cb5393d81dae5f160367	NA	NA	0.473607519721841	0.2404913	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
5ddcb503f7a2e67b6f082cde7eb39511	NA	NA	0.382192786812061	0.255554131	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
6de89ff96a33f42f25995480527f24b4	NA	NA	0.407397234381996	0.272868399	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
f4d7e9255f431a656c9cf6015398eb9f	1	0	0.885466164943598	0.0741900969	97.283	98.425	34F-27F_B04.ab1	NA	NA	mine	NA	NA	grey	red
fa52daf70be759cdb87b1c3cf4e912e5	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
723c85f9bef217d3210d10b64690aeb5	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
8807bdf85e025ed1de7b9ea22095fcad	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
5c04c5a43097a2d4aa00d6ca7953fb59	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
253b747a2ca3c202c8f9002035fe5a03	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
95d3fcf5ea5ca72d328f35b1a024aae0	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
01be557ac24e4ce42a089f867190420d	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
4779e9dd4d1c0b3b54c25d3dad818a57	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
0373b989f839d669a8aeae089ddd81a5	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
4753f1f75b09eb09985c3a4698c704b1	NA	0	0	0.15849627704	97.664	NA	NA	NA	NA	mine	NA	NA	grey	red
aaf720cb05ddb528efa9bacbd90f7c58	NA	0	0	0.26267178704	97.233	NA	NA	NA	NA	mine	NA	NA	grey	red
50b61496d772ef01f3cbdacc5c6ca371	NA	0	0	0.32625188482	97.628	NA	NA	NA	NA	mine	NA	NA	grey	red
e35290a43a5030b8f51f21379b74347f	NA	0	0	0.30407260104	97.628	NA	NA	NA	NA	mine	NA	NA	grey	red
cd8cad8e15aa704509a4e4a670f77ca4	NA	NA	0	0.45892974352	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
b33ad18b61a4434ed227ab0ff772d83a	NA	NA	0	0.37435058704	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
146011b4b3b1ac5bd7d8224c5d93209d	NA	NA	0	0.48056736704	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
a831054ee802d48e933d003870c0d42c	NA	NA	0	0.47361877704	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
e3eabf942da79c4a106980feb08eb2a6	NA	1	0.261487718449541	0.26463492704	97.628	NA	NA	NA	NA	mine	NA	NA	grey	red
2a64f7117c72e249a9c2e5850fd6eb3e	NA	1	0.259250990535824	0.33043863704	97.233	NA	NA	NA	NA	mine	NA	NA	grey	red
b6b5b457c3a6c6c05d8ed587ba2f666b	NA	0	0.260034169161335	0.30405785704	97.382	NA	NA	NA	NA	mine	NA	NA	grey	red
c59e76b15159e23ab85ffd3e508a1839	NA	1	0.273133037890544	0.12777078704	98.814	NA	NA	NA	NA	mine	NA	NA	grey	red
bb740c10ad31d5779e628bccffdb5015	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
a3a2ff3b616754c75e1d2cf52e9bf59a	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
e49bd7a22403be87be324e6bb70bc424	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
761b35208c653a985ad143394bc42013	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
255b13051f05307cceffe689d59800b5	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
c757f785120c24f3555c5208be80435a	NA	NA	0	0.24358745352	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
73774562d8099b35d171c11193fe9428	NA	NA	0	0.24965414352	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
024311f59e788e31673bc1a433a02d55	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
dd320763ac7c6b0a414308a5c0ced6d4	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
ba18423917b1c2785a5799931e9afd31	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
e972576423a5e33b194f1f1cc8aa626d	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
d7c0dac15fc7897055400d3bb59600d4	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
0471a07d3bb1fa69cc223cbc93dd222c	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
475d072c4bedde2c9ab8dddd8293e3eb	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
517c2f89f0ecc9796ed525499c234192	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
6a24723ad508afd570100265b188df8c	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
a7d01bb9eadd917c57f06bc2300caa83	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
85cc13b874316aa9142539c4f721dee4	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
d6a432804285a6093a36d7e5f15eff3c	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
5cb5f0968334b562fb20758ccd1b34c2	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
e074ed111a9a7f8a5586ac18330eb040	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
4406a4704561abcd02336c2f8f36fea4	NA	0	0.588005447064891	0.41466082352	100	NA	NA	NA	NA	mine	NA	NA	grey	red
21de8d8a8dc765d3490b44d8cdb6ead1	NA	NA	0.5	0.49864650352	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
87e4dd1e262f58c5648d5487e853c18b	NA	NA	0.5	0.40388136704	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
b5403e3d3e7f5a219e1fbe3cceee2261	NA	NA	0.501349046651295	0.37161194704	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
1eb75ed13afec15fb8b5a4ab6ec9809a	NA	NA	0.501272994729962	0.40069956352	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
38fd339ad2f9047b07adaff927830bf0	0	NA	0.427188071215965	0.13041130352	NA	97.638	36E-27F_G03.ab1	NA	NA	mine	NA	NA	grey	red
1826ff1ce1a5f373c9bf0cbc7104f31b	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
d1607b7e025ed154a065c5a924f9d888	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
d829bee4984f82ffc2453212157caf96	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
3da13822a4e59d2d70a6ec427c82e650	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
b286492dcc8013deb2e342ee13025d59	NA	NA	0.672436815868465	0.44739187704	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
f3f4ce40b29621420e72d75cab2cf72e	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
06b0cdc9b5af174c7c86120dd1d52d9e	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
2c68d7f8902d8d7d2edd0c2910a93022	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
133862bc5656b433803da453daeb9375	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
4353e45241a40a92c853b19e1219bb24	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
51ec34a9ebbeebcaf0a9ea8f3f82ecb3	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
3ecb6b93279137a28d51bc4f65e01f18	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
c432db46d8c525259d78fe133a13106f	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
065a7b6897f5dcaa2e5cc059c1eb0f0c	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
6351fb3b38888fc618029cd94ddc52f6	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
8f3a14568ac186a4869f917668730657	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
16fdb8d767296d0223ffccb845affb14	NA	NA	0	0.46714996352	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
bcbb44b0e0a0f82e56d79a5c4c1ba3e4	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
a09d1e53d563c36b4c9ce5745304310e	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
28633950e06a4567f8b64b4403cd33e3	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
ca5fe8f17806a51abe48c4e5151da708	NA	NA	0	0.45635384352	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
9ac3bb1d7dedb08a012692a6f536b5af	NA	0	0	1.222704e-05	99.605	NA	NA	NA	NA	mine	NA	NA	grey	red
547b78057390d8dd87e029218928ab3c	NA	NA	0.692333205271765	0.43237497352	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
cae2364bd1a03535a0ad9d6d06ca013f	NA	NA	0.759302674462494	0.40528462352	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
8ce12e88f6b59bb09494567f0d678092	NA	1	1	0	100	NA	NA	NA	NA	mine	NA	NA	grey	red
fc6622c636a5210293fb2873fc4761d9	NA	0	1	0	99.209	NA	NA	NA	NA	mine	NA	NA	grey	red
15a6a5046a8d87c83f5702f59d7ba674	NA	NA	0.585279884691979	0.21065601352	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
586f05b3a7bca8adcf2c8745698f6a5e	NA	NA	0.547926937907885	0.31552635352	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
6326363cc12189a386d6c9e5c711038d	NA	0	0.387651198191996	0.05440866004	98.814	NA	NA	NA	NA	mine	NA	NA	grey	red
a537d8bab85c83b0e74c73c55790324b	NA	1	1	0	100	NA	NA	NA	NA	mine	NA	NA	grey	red
3708c8ea9ba6273ffd1edf98a146d5b8	NA	1	0.721237591289235	0.09021704852	97.233	NA	NA	NA	NA	mine	NA	NA	grey	red
ad9018f80e00f2ca4b48067195ac310d	NA	1	0.807303634540788	0.06256802704	97.628	NA	NA	NA	NA	mine	NA	NA	grey	red
66d1950018a7026edc12588d62eac0be	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
a820c0738d25a6f83116fcda1c3473af	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
5a988b490c981bca8a99737670c007b7	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
2480b52335c63e6062126aa023f36fa2	NA	NA	0	0.39167871	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
1603f5959b28c5d32ad72884eb663158	NA	NA	0	0.37910291	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
f1d73957c7db38f551574a351e7b142b	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
6c3fb343f46983254cdb83e99fa07a49	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
3ce45a28d8c1e1d6796deefd2b01f38f	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
49823414bc8b40533dc059f1a004af95	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
6bf99e8b1f004c8623348da26f83d793	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
d324c95a5966d689591653062ca99d03	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
0b486e73570d90913db0c7fc01e64095	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
35d467c93a4662e82c7adaaab7a5790f	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
9c649ff2fb6ca1b5f7a0c77d28e19d0c	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
54311577cdb92cb7c122ad2aed3f84b2	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
36573c52d0626f8eae1a491ba0a22d0e	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
c105a1b9c3d4895c0d27a222a7735e23	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
856c418beb012bad07f9db0bfa07e148	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
6fe7311d2f774ec0b4974490d14e8047	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
39a01e40772f4ce27f1e7a4f2a03a3ff	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
36698e7081e539521470b4918a71d8f7	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
80544fde2d0299365cd6d34803590b8f	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
68d97db0e1ce1e324acb7dfce25130e0	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
ce58f78d999a724f2602cdb9ce8ed0f1	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
6a712e7e9cd86748e4c7920709851d73	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
fa69747bc852db84aa7507ae49264117	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
d541e08d88f8fe4d6a994d097d9ab3de	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
4d6f684b52e0abcf611125900ade7a01	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
6cad158df7966582e3719c3822c427f6	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
5b372802576c9d33f10c42d8e6b427bf	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
60b7dd5e56c47ea36bbaf6233022f67f	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
ea1f30350a72d76d8ca661d4ac6c40fe	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
3deb0a15c18555296b6458a401209f08	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
4d9bd4346edafd2b841aae25f11d98bc	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
3c7ff96d0b6968269b684d6b719c4ebc	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
ae294a794bd4bb5562e15faa6662b118	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
26e4cc203d1423364fe9a3ad57028278	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
1bfb5dd7955e3407655a3ef1487a5094	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
81998cf068cd9647faf4ac2fddd0f8c3	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
7606025d71cb8bbcd3e97ef045e8e58a	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
07e72228419500bb03476c5b0e57bbd2	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
9925c1c0f8733a383182dce99c7f3c06	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
22c960729d089e07dfee74a5038fa8b2	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
f08ba81449381732cbab4781f4384e94	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
ea27de73d7329faff4614b3d593ffb43	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
9ddf5794f853c46da2000e1bd93551a1	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
971e4cce7f23c8079cbab388c89903b1	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
11ad1b3ffea89365c7ebf516dedc42fb	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
0a2da7a37e13369b7627e21e74959e70	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
1c992ec9f8c3ab7900f3894938894907	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
8119d66bae6de98111412785dae68e5e	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
e0ed1c873727f5f9712d9d879a1b97c2	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
a878d6335881ff900499a650bb7799a3	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
ebda9a1557ef9f5a955820395427d6d0	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
f2aaa4dc8ec3d0384404ee3b902266c0	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
e042128f30ecbc77a348f4764ff29668	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
6e26052ead025ac92ed7d81a0a68a479	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
6b94959874b693c3304e68c57cefd287	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
d619ecfb9a3c486817c9d2ad54708066	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
6877abba665a7dbf3118e8b6606bc281	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
4c332960b3e08bad4bbc005640907e5c	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
d5f31e487d54474195507ccbce9d595b	NA	NA	NA	NA	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
0bd6d0fbf945e2125f19344d82b95d88	NA	NA	0.410059504672054	0.44962941352	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
7b7f9c073366c233fa85c7a9aee5903c	NA	NA	0.378397594305363	0.33295977704	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
dd18c11c9ae50bd4f90b015e8c78de58	NA	NA	0.397672251811609	0.25834874704	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
7f3a565cb8973d5671986ebd881ba8f9	NA	1	0.480082516703142	0.05432674352	99.209	NA	NA	NA	NA	mine	NA	NA	grey	red
a0b00e7c11b4881c1e7afd46e093a38b	NA	NA	0.444379877960245	0.33549242379	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
c9610bcb36c78d012d9cc5ef7d635c9e	NA	NA	0.506605671345448	0.37577527827	NA	NA	NA	NA	NA	mine	NA	NA	grey	red
453cf07d3e96e304f23fbde7b355fe70	0	0	0.452758379436807	0.12733246504	98.024	98.814	35B-27F_H08.ab1	NA	NA	mine	NA	NA	grey	red
